participant id,gender,age,min age,max age
215,F,52.0,51.0,53.0
216,M,22.0,19.0,25.0
217,M,34.5,34.0,35.0
218,F,38.0,36.0,40.0
219,F,38.0,36.0,40.0
220,F,28.0,26.0,30.0
221,M,40.5,41.0,40.0
222,M,40.5,39.0,42.0
223,M,35.0,33.0,37.0
224,M,43.0,41.0,45.0
225,F,51.0,49.0,53.0
226,M,48.0,46.0,50.0
227,F,38.0,36.0,40.0
228,M,30.0,28.0,32.0
229,M,39.0,38.0,40.0
230,M,28.0,26.0,30.0
231,M,21.5,22.0,21.0
232,M,22.0,19.0,25.0
233,M,42.0,41.0,43.0
234,M,17.0,16.0,18.0
235,F,28.0,26.0,30.0
236,F,54.0,53.0,55.0
237,M,49.0,48.0,50.0
238,M,55.0,53.0,57.0
239,M,43.0,41.0,45.0
240,F,39.5,38.0,41.0
241,M,35.0,33.0,37.0
242,M,56.0,54.0,58.0
243,M,56.0,54.0,58.0
244,M,38.0,36.0,40.0
245,M,22.0,19.0,25.0
246,F,29.5,28.0,31.0
247,M,40.5,41.0,40.0
248,F,43.0,41.0,45.0
249,F,30.0,30.0,30.0
250,F,28.0,26.0,30.0
251,M,53.0,51.0,55.0
252,F,45.0,43.0,47.0
253,M,48.0,46.0,50.0
254,M,33.0,31.0,35.0
255,M,22.0,19.0,25.0
256,M,43.0,41.0,45.0
257,F,46.0,44.0,48.0
258,M,53.0,53.0,53.0
259,M,43.5,44.0,43.0
260,M,23.5,22.0,25.0
261,F,53.0,51.0,55.0
262,M,48.0,46.0,50.0
263,M,22.0,19.0,25.0
264,M,33.0,31.0,35.0
265,M,38.0,36.0,40.0
266,M,64.0,63.0,65.0
267,M,45.0,43.0,47.0
268,M,17.0,16.0,18.0
269,M,28.0,26.0,30.0
270,M,46.5,46.0,47.0
271,M,33.0,31.0,35.0
272,M,33.0,31.0,35.0
273,M,60.0,60.0,60.0
274,M,19.5,19.0,20.0
275,M,65.5,64.0,67.0
276,F,53.0,51.0,55.0
277,M,53.0,51.0,55.0
278,M,38.0,36.0,40.0
279,M,43.0,41.0,45.0
280,M,55.0,53.0,57.0
281,M,33.0,31.0,35.0
282,M,39.5,40.0,39.0
283,M,22.0,19.0,25.0
284,F,36.5,36.0,37.0
285,M,53.0,51.0,55.0
286,M,60.0,59.0,61.0
287,M,43.0,41.0,45.0
288,M,38.0,36.0,40.0
289,M,38.0,36.0,40.0
290,M,59.5,59.0,60.0
291,M,50.5,51.0,50.0
292,M,63.0,61.0,65.0
293,M,25.0,22.0,28.0
294,M,55.0,53.0,57.0
295,F,33.0,31.0,35.0
296,M,45.5,44.0,47.0
297,M,28.0,26.0,30.0
298,M,38.0,36.0,40.0
299,F,54.0,53.0,55.0
300,M,28.0,26.0,30.0
301,F,33.0,31.0,35.0
302,M,28.5,32.0,25.0
303,M,53.0,51.0,55.0
304,M,28.0,26.0,30.0
305,M,25.0,22.0,28.0
306,M,38.0,36.0,40.0
307,M,24.5,22.0,27.0
308,M,38.0,36.0,40.0
309,M,38.0,36.0,40.0
310,F,24.5,22.0,27.0
311,M,,14.0,
312,F,31.0,29.0,33.0
313,M,43.0,41.0,45.0
314,M,43.0,41.0,45.0
315,M,31.0,32.0,30.0
316,M,42.0,41.0,43.0
317,F,42.5,43.0,42.0
318,M,38.0,36.0,40.0
319,M,44.5,44.0,45.0
320,M,38.0,36.0,40.0
321,M,44.5,44.0,45.0
322,M,38.5,38.0,39.0
323,M,38.0,38.0,38.0
324,F,22.0,19.0,25.0
325,M,38.0,36.0,40.0
326,M,43.0,41.0,45.0
327,F,37.5,36.0,39.0
328,M,34.0,33.0,35.0
329,M,38.0,36.0,40.0
330,M,22.0,19.0,25.0
331,M,25.5,26.0,25.0
332,F,44.5,44.0,45.0
333,M,34.0,33.0,35.0
334,M,39.5,39.0,40.0
335,M,43.0,43.0,43.0
336,M,50.0,48.0,52.0
337,M,44.5,44.0,45.0
338,M,58.0,56.0,60.0
339,M,33.0,31.0,35.0
340,M,28.0,26.0,30.0
341,F,39.5,39.0,40.0
342,M,58.0,57.0,59.0
343,M,30.0,29.0,31.0
344,M,38.0,38.0,38.0
345,F,31.5,31.0,32.0
346,M,28.0,26.0,30.0
347,M,47.5,53.0,42.0
348,F,23.0,21.0,25.0
349,M,34.5,34.0,35.0
350,M,40.5,39.0,42.0
351,M,28.0,26.0,30.0
352,M,40.0,38.0,42.0
353,F,23.5,22.0,25.0
354,M,58.0,56.0,60.0
355,M,46.5,46.0,47.0
356,M,38.0,36.0,40.0
357,M,40.0,39.0,41.0
358,M,61.0,59.0,63.0
359,M,41.0,43.0,39.0
360,M,33.0,31.0,35.0
361,M,33.0,31.0,35.0
362,M,28.0,26.0,30.0
363,F,41.0,39.0,43.0
364,F,40.0,39.0,41.0
365,M,22.0,19.0,25.0
366,F,48.0,46.0,50.0
367,M,35.5,34.0,37.0
368,M,46.0,44.0,48.0
369,M,33.0,31.0,35.0
370,M,38.0,36.0,40.0
371,M,46.5,46.0,47.0
372,F,39.0,38.0,40.0
373,F,58.0,56.0,60.0
374,M,43.0,41.0,45.0
375,M,33.5,34.0,33.0
376,M,28.0,26.0,30.0
377,M,65.0,63.0,67.0
378,M,35.0,33.0,37.0
379,M,59.0,58.0,60.0
380,M,33.0,31.0,35.0
381,M,37.5,36.0,39.0
382,M,48.0,46.0,50.0
383,F,30.0,30.0,30.0
384,M,51.0,52.0,50.0
385,M,54.0,53.0,55.0
386,M,22.0,19.0,25.0
387,M,49.5,49.0,50.0
388,M,48.0,46.0,50.0
389,M,28.0,26.0,30.0
390,M,43.0,41.0,45.0
391,M,33.0,31.0,35.0
392,M,38.0,36.0,40.0
393,F,43.0,41.0,45.0
394,M,67.5,68.0,67.0
395,F,43.0,41.0,45.0
396,M,48.0,46.0,50.0
397,F,43.0,41.0,45.0
398,M,24.0,23.0,25.0
399,F,33.0,31.0,35.0
400,M,53.0,51.0,55.0
401,F,33.0,31.0,35.0
402,M,27.5,26.0,29.0
403,M,37.5,36.0,39.0
404,M,44.5,44.0,45.0
405,M,25.5,24.0,27.0
406,M,38.0,36.0,40.0
407,M,41.0,39.0,43.0
408,M,46.0,44.0,48.0
409,M,29.0,28.0,30.0
410,M,29.5,30.0,29.0
411,M,43.0,41.0,45.0
412,F,48.0,46.0,50.0
413,M,43.0,41.0,45.0
414,M,49.0,48.0,50.0
415,M,51.5,51.0,52.0
416,M,50.0,50.0,50.0
417,M,28.0,26.0,30.0
418,M,36.0,34.0,38.0
419,M,32.0,32.0,32.0
420,M,45.0,45.0,45.0
421,M,53.5,54.0,53.0
422,M,35.0,33.0,37.0
423,M,60.5,59.0,62.0
424,F,29.5,29.0,30.0
425,M,61.5,61.0,62.0
426,F,33.0,31.0,35.0
427,M,28.0,26.0,30.0
428,M,50.0,49.0,51.0
429,F,48.0,46.0,50.0
430,M,40.0,38.0,42.0
431,F,31.0,29.0,33.0
432,F,37.0,37.0,37.0
433,F,28.0,26.0,30.0
434,F,28.0,26.0,30.0
435,M,48.0,46.0,50.0
436,M,58.0,56.0,60.0
437,M,45.5,44.0,47.0
438,F,41.0,39.0,43.0
439,F,17.0,16.0,18.0
440,F,58.0,56.0,60.0
441,M,22.0,19.0,25.0
442,M,58.0,58.0,58.0
443,M,38.0,38.0,38.0
444,M,48.0,46.0,50.0
445,M,34.0,33.0,35.0
446,M,55.0,53.0,57.0
447,,,,
448,M,48.0,46.0,50.0
449,M,33.0,33.0,33.0
450,M,50.0,48.0,52.0
451,M,23.0,21.0,25.0
452,F,24.0,21.0,27.0
453,F,28.0,26.0,30.0
454,M,38.0,36.0,40.0
455,M,43.5,42.0,45.0
456,M,34.0,33.0,35.0
457,F,33.0,31.0,35.0
458,M,68.0,66.0,70.0
459,F,33.0,31.0,35.0
460,M,45.0,43.0,47.0
461,M,52.0,52.0,52.0
462,F,46.0,44.0,48.0
463,F,47.5,48.0,47.0
464,M,43.0,41.0,45.0
465,F,30.0,28.0,32.0
466,F,35.0,33.0,37.0
467,M,38.0,36.0,40.0
468,M,49.0,49.0,49.0
469,M,28.0,26.0,30.0
470,M,58.0,56.0,60.0
471,M,43.0,41.0,45.0
472,M,40.0,38.0,42.0
473,M,30.0,28.0,32.0
474,M,62.5,62.0,63.0
475,M,58.5,57.0,60.0
476,M,59.5,59.0,60.0
477,M,48.0,46.0,50.0
478,M,38.5,37.0,40.0
479,M,38.0,36.0,40.0
480,M,43.0,41.0,45.0
481,M,45.5,58.0,33.0
482,M,40.0,39.0,41.0
483,M,35.0,35.0,35.0
484,M,30.0,28.0,32.0
485,F,33.0,31.0,35.0
486,M,33.5,34.0,33.0
487,F,52.0,51.0,53.0
488,M,33.0,31.0,35.0
489,M,45.5,44.0,47.0
490,M,34.5,34.0,35.0
491,M,33.0,31.0,35.0
492,M,40.5,39.0,42.0
493,F,33.0,31.0,35.0
494,M,47.5,46.0,49.0
495,M,40.5,39.0,42.0
496,M,53.0,51.0,55.0
